Epoch: 106, Loss: 6.0537, Acc: 0.1452, Top-5: 0.3327, Masked-5: 0.4051, Top-10: 0.4146, Masked-10: 0.5774
Epoch: 107, Loss: 6.0847, Acc: 0.1409, Top-5: 0.3265, Masked-5: 0.4055, Top-10: 0.4112, Masked-10: 0.5777
Epoch: 108, Loss: 6.0352, Acc: 0.1478, Top-5: 0.3357, Masked-5: 0.4059, Top-10: 0.4179, Masked-10: 0.5779
Epoch: 109, Loss: 6.0564, Acc: 0.1463, Top-5: 0.3313, Masked-5: 0.4061, Top-10: 0.4142, Masked-10: 0.5781
Epoch: 110, Loss: 6.0413, Acc: 0.1468, Top-5: 0.3352, Masked-5: 0.4065, Top-10: 0.4185, Masked-10: 0.5784
Epoch: 111, Loss: 5.9903, Acc: 0.1483, Top-5: 0.3375, Masked-5: 0.4069, Top-10: 0.4245, Masked-10: 0.5787
Epoch: 112, Loss: 6.0321, Acc: 0.1469, Top-5: 0.3343, Masked-5: 0.4072, Top-10: 0.4182, Masked-10: 0.5789
Epoch: 113, Loss: 6.0178, Acc: 0.1462, Top-5: 0.3369, Masked-5: 0.4076, Top-10: 0.4216, Masked-10: 0.5791
Epoch: 114, Loss: 6.0327, Acc: 0.1469, Top-5: 0.3380, Masked-5: 0.4079, Top-10: 0.4195, Masked-10: 0.5793
Epoch: 115, Loss: 6.0551, Acc: 0.1461, Top-5: 0.3314, Masked-5: 0.4082, Top-10: 0.4148, Masked-10: 0.5794
Epoch: 116, Loss: 6.0256, Acc: 0.1496, Top-5: 0.3380, Masked-5: 0.4085, Top-10: 0.4177, Masked-10: 0.5796
Epoch: 117, Loss: 5.9993, Acc: 0.1516, Top-5: 0.3404, Masked-5: 0.4088, Top-10: 0.4248, Masked-10: 0.5798
Epoch: 118, Loss: 6.0431, Acc: 0.1476, Top-5: 0.3351, Masked-5: 0.4091, Top-10: 0.4166, Masked-10: 0.5800
Epoch: 119, Loss: 6.0119, Acc: 0.1466, Top-5: 0.3407, Masked-5: 0.4094, Top-10: 0.4237, Masked-10: 0.5803
Epoch: 120, Loss: 6.0240, Acc: 0.1503, Top-5: 0.3393, Masked-5: 0.4098, Top-10: 0.4215, Masked-10: 0.5805
Epoch: 121, Loss: 6.0194, Acc: 0.1505, Top-5: 0.3379, Masked-5: 0.4101, Top-10: 0.4208, Masked-10: 0.5807
